Rank,Company Name,Webpage,Description,Location,Year end,Annual sales rise over 3 years,Sales £000s,Staff,Comments
29,Trustpay Global,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online payment provider,Guildford,Mar-18,110.45%,9796,25,The Premier Lotto in Nigeria uses the company’s platform to prevent money laundering
30,iwoca,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Business finance provider,Central London,Dec-17,109.27%,25000,200,Its 140 employees include three former Olympians
31,LADBible Group,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online entertainment community,Manchester,Dec-17,108.91%,15500,133,Claims its flagship brand reaches more than half of all millennials in the UK every month
32,Threads Styling,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online fashion services,East London,Dec-17,107.88%,12672,55,Some three-quarters of its sales are to fashionistas in the Middle East
33,Prodigy Finance,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Student finance provider,Central London,Dec-17,105.94%,10273,133,"More than 10,000 students have used its platform to fund their postgraduate studies"
34,Azimo,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online money transfers,Central London,Jun-17,103.79%,5870,115,Recently launched its international money transfer service for businesses
35,Chameleon,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Smart energy monitoring,Harrogate,Dec-17,101.10%,19890,32,About 2.5m of its energy display units have been installed in UK homes
36,SuperAwesome,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Children's privacy protection,Central London,Dec-17,97.91%,14935,130,"Last month it signed a deal with Pokémon Go, allowing parents to manage their child’s privacy settings"
37,Gousto,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Meal kit delivery services,West London,Dec-17,97.32%,23300,400,Aims to provide the ingredients for 400m meals in UK homes by 2025
38,Vizolution,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Business software developer,Swansea,Dec-17,94.99%,6965,118,Its DigiDocs software lets RBS customers complete mortgage applications digitally
39,MoveGB,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Activity membership,Bath,Dec-17,94.93%,5029,41,"Has 300,000 subscribers gaining access to more than 6,000 fitness venues"
40,BBOXX,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Solar system manufacturer,West London,Dec-17,93.35%,20416,443,Has raised almost $70m in venture funding and debt financing
41,Funding Circle,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Peer-to-peer lending platform,Central London,Dec-17,93.21%,94500,790,Is planning an IPO in London this autumn that will value it at more than £1.5bn 
42,LoopMe,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Advertising technology developer,Central London,Dec-17,93.04%,24493,91,Says its AI technology reaches 2bn devices around the world
43,Kano,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Educational computer developer,East London,Dec-17,91.81%,13000,60,Has customers in 150 countries and aims to have 100m global users by 2020
44,Capital on Tap,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Business finance provider,West London,Mar-18,88.73%,17318,56,"This company’s founders also set up Paymentsense, No 91 in the league table"
45,Hutch,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Video games developer,Central London,Sep-17,88.63%,8766 (2017),51,Its Hot Wheels Race Off game has been played in 190 countries including Antarctica and Vatican City
46,ENSEK,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Energy software developer,Nottingham,Mar-18,87.56%,6161,110,A fifth of the UK’s energy suppliers are said to use this company’s software
47,MiQ,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Digital marketing agency,Central London,Dec-17,87.36%,155876,561,"Relocated its New York base in April, tripling its office space"
48,StarLeaf,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Video conferencing platform,Watford,Dec-17,86.89%,11427,133,Its founders set up the Tech Track 100 alumnus Codian and sold it for $270m in 2007
49,BigChange,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Management software developer,Leeds,Dec-17,86.45%,6566,41,Last year its technology saved 15m sheets of paper and facilitated 9m tasks
50,The Lead Agency,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Lead generation developer,Liverpool,Dec-17,80.38%,6383,96,Works with every large automotive brand in the UK
51,UNiDAYS,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Student verification services,Nottingham,Apr-18,80.03%,27400,210,Connects brands with 10m students in 114 countries
52,Farfetch,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online fashion platform,East London,Dec-17,78.31%,299812,"2,700",Has announced plans to float in the US with a reported $5bn valuation
53,Assetz Capital,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Peer-to-peer lending platform,Manchester,Mar-18,77.91%,13700,98,"Has funded the construction of 1,800 new homes since 2013"
54,iPulse,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Hair removal technology,Swansea,Dec-17,77.12%,32874,39,Almost 95% of its hair removal devices are sold overseas
55,Giacom,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cloud services provider,Hull,Jul-17,76.14%,13883,49,"It now reaches more than 500,000 end users across the UK"
56,Arcus Global,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cloud IT developer,Cambridge,Jun-17,75.57%,9681,110,"In May it secured a £3m investment from the private equity firm YFM, valuing it at £27m"
57,disguise,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Live event technology provider,Central London,Dec-17,75.46%,17971,59,Customers include the likes of Disney and Universal Studios
58,Tech21,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Device impact protection maker,Southwest London,May-17,75.34%,121576,81,Became an inaugural member of Google’s certified accessories programme last year
59,Victor,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online private jet hire,Central London,Dec-17,74.13%,41508,113,Counts Sir Elton John among its investors
60,Cinesite,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Visual effects and animation,Central London,Apr-17,74.11%,43888,699,Is producing visual effects for Mary Poppins Returns and the Marvel franchise
61,Biosite Systems,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Workforce management software,Solihull,Jul-17,74.04%,6401,117,"More than 200,000 of the UK’s construction workers are registered on its systems"
62,Ecometrica,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Environmental reporting software,Edinburgh,Mar-18,71.67%,5496,40,Helps 250 companies on five continents to manage their environmental impacts
63,Qualasept Pharmaxo,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Pharmaceuticals manufacturer,Wiltshire,Apr-17,70.89%,152744,156,Its manufacturing facility and offices have a zero carbon footprint
64,Edesix,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Body camera manufacturer,Edinburgh,Dec-17,70.52%,5900,47,Founders Richie McBride and Robin Iddon competed on the TV show Robot Wars
65,LendInvest,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Property finance provider,Central London,Mar-18,70.13%,35617,128,Has facilitated more than £1.4bn of property loans
66,E3D Online,https://www.fasttrack.co.uk/company_profile/brompton-technology/,3D printer developer,Oxfordshire,Apr-18,69.08%,5800,41,Has grown its exports to account for 75% of its total sales
67,Lyst,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Fashion search platform,East London,Mar-18,68.34%,15300,100,"LVMH, the owner of Christian Dior and Louis Vuitton, invested an undisclosed amount in May"
68,Diaceutics,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Medtech research provider,Belfast,Dec-17,67.80%,7390,57,Works with 31 of the top 35 pharmaceutical companies in the world
69,Amplience,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Digital media technology,Central London,Jun-17,66.25%,8147,85,Helps retailers such as Argos and Mulberry to create and manage online content
70,GlucoRx,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Diabetes product manufacturer,Woking,Mar-17,65.52%,24885,26,Claims to have saved the NHS £150m in the past three years
71,Love Energy Savings,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Price comparison website,Bolton,Dec-17,64.26%,17361,183,"Has helped 145,000 UK homes and businesses save on energy costs since 2007"
72,Creative Virtual,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Chatbot developer,East London,Dec-17,63.30%,8400,99,Its trademarked chatbot can be used through Facebook Messenger and Amazon Alexa
73,Ebury,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Business finance provider,Central London,Apr-18,62.77%,47000,628,Has traded £12.5bn in foreign exchange in 140 different currencies
74,ZappiStore,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Research services provider,Central London,Dec-17,61.62%,19323,128,Holds weekly hackathons with its clients and programmers
75,Blis,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Location data technology,Central London,Dec-17,61.28%,33400,186,Analyses more than 5.5bn data points each day
76,BookingBug,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Booking systems developer,Central London,Mar-18,60.61%,6937,117,Raised nearly £10m in April from backers including PeakSpan Capital and Downing Ventures
77,Egress,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Data security provider,Central London,Dec-17,60.22%,9403,115,Users of its platform can revoke access to emails after they have reached the recipient’s inbox
78,Contis Group,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Payment services provider,North Yorkshire,Mar-17,59.56%,7161,86,Appointed the former European boss of American Express to drive sales on the continent
79,PM Connect,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Mobile content provider,Birmingham,Feb-18,59.44%,19317,35,Its clients include World Wrestling Entertainment and the NBA
80,Zopa,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Peer-to-peer lending platform,South London,Dec-17,59.43%,46500,312,About £3.5bn has been advanced through its platform
81,WorldRemit,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online money transfers,Central London,Dec-17,59.07%,61000,440,Has raised $220m since 2010 to expand its online money transfer service
82,Dianomi,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Financial content marketing,Central London,Dec-17,58.99%,12861,25,Works with eight of the top 10 global asset managers
83,Liberis,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cash advance provider,West London,Dec-17,57.99%,15150,75,Received £57.5m in funding in April from investors including Blenheim Chalcot
84,Currencycloud,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Payment services provider,East London,Dec-17,57.48%,13600,140,Has 250 clients and 2m end users across the world
85,Featurespace,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Analytics software developer,Cambridge,Dec-17,57.48%,5170,113,"Is recruiting for more than 100 positions this year, following customer demand in UK and US"
86,Cloud Technology Solutions,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cloud IT developer,Manchester,Mar-18,57.21%,21902,102,"Its software has moved nearly 12,000 companies in 20 countries onto Google Apps"
87,Leisure Pass Group,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Tourism smartcard developer,Central London,Dec-17,57.16%,225803,105,Has partnered with the booking platform Ctrip to target Chinese tourists visiting Europe
88,rradar,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Legal digital services,Hull,Dec-17,57.03%,5083,125,Uses machine learning and AI to provide legal advice to customers
89,Converge TS,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Cloud services provider,Cheshire,Dec-17,55.00%,5802,38,Focused solely on the legal sector after its first three clients were all law firms
90,Kimble Applications,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Software developer,Central London,Dec-17,54.67%,9153,78,"More than half of its new business is in the US, where it has offices in Boston and Park City"
91,Paymentsense,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Payment services provider,West London,Mar-18,53.54%,72400,243,Processed more than £6.5bn of card payments last year in the UK and Ireland
92,Godel Technologies,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Software developer,Manchester,Dec-17,53.01%,13853,637,Is named after the late German mathematician Kurt Gödel
93,Secret Escapes,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online travel services,Central London,Dec-17,52.99%,73000,850,Has raised £132m from investors including Google Ventures
94,Neuven,https://www.fasttrack.co.uk/company_profile/brompton-technology/,HR software developer,Manchester,Jul-17,52.23%,130071,28,Appearing on Tech Track 100 for a fourth consecutive year
95,CitNOW,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Video software developer,Wokingham,Dec-17,51.85%,11611,71,"Has more than 8,000 installations in franchised car dealerships in 45 countries"
96,geo,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Smart energy monitoring,Cambridge,Mar-18,51.24%,29406,85,"Customers in Norway, Sweden and Luxembourg use its smart energy monitoring devices"
97,Vision RT,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Medical technology developer,North London,Jul-17,50.99%,32468,132,Has secured 60 patents and has another 46 pending
98,Thread,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Online fashion services,Central London,Dec-17,50.77%,6492,60,"More than 800,000 men subscribe to its free personal styling service"
99,The Media Image,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Digital marketing agency,South London,Feb-18,50.38%,27515,37,Founded by the man who was Google UK’s first recruit when it launched its AdWords service in 2002
100,Brompton Technology,https://www.fasttrack.co.uk/company_profile/brompton-technology/,Video technology provider,West London,Aug-17,50.17%,5250,27,Its technology is used in high-profile events such as the Oscars
